Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2018-19,29/09/2018,Real Madrid,Ath Madrid,0,0,D,0,0,D
2018-19,29/09/2018,Sociedad,Valencia,0,1,A,0,1,A
2018-19,30/09/2018,Betis,Leganes,1,0,H,0,0,D
2018-19,30/09/2018,Huesca,Girona,1,1,D,0,1,A
2018-19,30/09/2018,Levante,Alaves,2,1,H,2,1,H
2018-19,30/09/2018,Villarreal,Valladolid,0,1,A,0,0,D
2018-19,1/10/18,Celta,Getafe,1,1,D,1,0,H
2018-19,5/10/18,Ath Bilbao,Sociedad,1,3,A,1,1,D
2018-19,6/10/18,Alaves,Real Madrid,1,0,H,0,0,D
2018-19,6/10/18,Getafe,Levante,0,1,A,0,0,D
2018-19,6/10/18,Girona,Eibar,2,3,A,2,2,D
2018-19,6/10/18,Leganes,Vallecano,1,0,H,1,0,H
2018-19,7/10/18,Ath Madrid,Betis,1,0,H,0,0,D
2018-19,7/10/18,Espanol,Villarreal,3,1,H,1,1,D
2018-19,7/10/18,Sevilla,Celta,2,1,H,1,0,H
2018-19,7/10/18,Valencia,Barcelona,1,1,D,1,1,D
2018-19,7/10/18,Valladolid,Huesca,1,0,H,1,0,H
2018-19,19/10/2018,Celta,Alaves,0,1,A,0,0,D
2018-19,20/10/2018,Barcelona,Sevilla,4,2,H,2,0,H
2018-19,20/10/2018,Real Madrid,Levante,1,2,A,0,2,A
2018-19,20/10/2018,Valencia,Leganes,1,1,D,0,0,D
2018-19,20/10/2018,Villarreal,Ath Madrid,1,1,D,0,0,D
2018-19,21/10/2018,Betis,Valladolid,0,1,A,0,1,A
2018-19,21/10/2018,Eibar,Ath Bilbao,1,1,D,1,1,D
2018-19,21/10/2018,Huesca,Espanol,0,2,A,0,1,A
2018-19,21/10/2018,Vallecano,Getafe,1,2,A,0,0,D
2018-19,22/10/2018,Sociedad,Girona,0,0,D,0,0,D
2018-19,24/10/2018,Vallecano,Ath Bilbao,1,1,D,1,0,H
2018-19,26/10/2018,Valladolid,Espanol,1,1,D,0,1,A
2018-19,27/10/2018,Ath Bilbao,Valencia,0,0,D,0,0,D
2018-19,27/10/2018,Ath Madrid,Sociedad,2,0,H,1,0,H
2018-19,27/10/2018,Celta,Eibar,4,0,H,2,0,H
2018-19,27/10/2018,Girona,Vallecano,2,1,H,2,0,H
2018-19,27/10/2018,Levante,Leganes,2,0,H,1,0,H
2018-19,28/10/2018,Alaves,Villarreal,2,1,H,0,1,A
2018-19,28/10/2018,Barcelona,Real Madrid,5,1,H,2,0,H
2018-19,28/10/2018,Getafe,Betis,2,0,H,0,0,D
2018-19,28/10/2018,Sevilla,Huesca,2,1,H,0,0,D
2018-19,3/11/18,Leganes,Ath Madrid,1,1,D,0,0,D
2018-19,3/11/18,Real Madrid,Valladolid,2,0,H,0,0,D
2018-19,3/11/18,Valencia,Girona,0,1,A,0,0,D
2018-19,3/11/18,Vallecano,Barcelona,2,3,A,1,1,D
2018-19,4/11/18,Betis,Celta,3,3,D,1,0,H
2018-19,4/11/18,Eibar,Alaves,2,1,H,0,1,A
2018-19,4/11/18,Huesca,Getafe,1,1,D,0,0,D
2018-19,4/11/18,Sociedad,Sevilla,0,0,D,0,0,D
2018-19,4/11/18,Villarreal,Levante,1,1,D,0,0,D
2018-19,5/11/18,Espanol,Ath Bilbao,1,0,H,1,0,H
2018-19,9/11/18,Levante,Sociedad,1,3,A,1,0,H
2018-19,10/11/18,Ath Madrid,Ath Bilbao,3,2,H,0,1,A
2018-19,10/11/18,Getafe,Valencia,0,1,A,0,0,D
2018-19,10/11/18,Girona,Leganes,0,0,D,0,0,D
2018-19,10/11/18,Valladolid,Eibar,0,0,D,0,0,D
2018-19,11/11/18,Alaves,Huesca,2,1,H,1,1,D
2018-19,11/11/18,Barcelona,Betis,3,4,A,0,2,A
2018-19,11/11/18,Celta,Real Madrid,2,4,A,0,1,A
2018-19,11/11/18,Sevilla,Espanol,2,1,H,0,1,A
2018-19,11/11/18,Vallecano,Villarreal,2,2,D,1,1,D
2018-19,23/11/2018,Leganes,Alaves,1,0,H,1,0,H
2018-19,24/11/2018,Ath Madrid,Barcelona,1,1,D,0,0,D
2018-19,24/11/2018,Eibar,Real Madrid,3,0,H,1,0,H
2018-19,24/11/2018,Huesca,Levante,2,2,D,1,1,D
2018-19,24/11/2018,Valencia,Vallecano,3,0,H,1,0,H
2018-19,25/11/2018,Ath Bilbao,Getafe,1,1,D,0,0,D
2018-19,25/11/2018,Espanol,Girona,1,3,A,0,2,A
2018-19,25/11/2018,Sevilla,Valladolid,1,0,H,1,0,H
2018-19,25/11/2018,Villarreal,Betis,2,1,H,0,0,D
2018-19,26/11/2018,Sociedad,Celta,2,1,H,1,0,H
2018-19,30/11/2018,Vallecano,Eibar,1,0,H,0,0,D
2018-19,1/12/18,Celta,Huesca,2,0,H,1,0,H
2018-19,1/12/18,Getafe,Espanol,3,0,H,0,0,D
2018-19,1/12/18,Real Madrid,Valencia,2,0,H,1,0,H
2018-19,1/12/18,Valladolid,Leganes,2,4,A,0,2,A
2018-19,2/12/18,Alaves,Sevilla,1,1,D,1,0,H
2018-19,2/12/18,Barcelona,Villarreal,2,0,H,1,0,H
2018-19,2/12/18,Betis,Sociedad,1,0,H,1,0,H
2018-19,2/12/18,Girona,Ath Madrid,1,1,D,1,0,H
2018-19,3/12/18,Levante,Ath Bilbao,3,0,H,1,0,H
2018-19,7/12/18,Leganes,Getafe,1,1,D,0,1,A
2018-19,8/12/18,Ath Madrid,Alaves,3,0,H,1,0,H
2018-19,8/12/18,Espanol,Barcelona,0,4,A,0,3,A
2018-19,8/12/18,Valencia,Sevilla,1,1,D,0,0,D
2018-19,8/12/18,Villarreal,Celta,2,3,A,0,1,A
2018-19,9/12/18,Betis,Vallecano,2,0,H,0,0,D
2018-19,9/12/18,Eibar,Levante,4,4,D,1,2,A
2018-19,9/12/18,Huesca,Real Madrid,0,1,A,0,1,A
2018-19,9/12/18,Sociedad,Valladolid,1,2,A,0,1,A
2018-19,10/12/18,Ath Bilbao,Girona,1,0,H,0,0,D
2018-19,14/12/2018,Celta,Leganes,0,0,D,0,0,D
2018-19,15/12/2018,Eibar,Valencia,1,1,D,0,1,A
2018-19,15/12/2018,Getafe,Sociedad,1,0,H,1,0,H
2018-19,15/12/2018,Real Madrid,Vallecano,1,0,H,1,0,H
2018-19,15/12/2018,Valladolid,Ath Madrid,2,3,A,0,2,A
2018-19,16/12/2018,Espanol,Betis,1,3,A,1,1,D
2018-19,16/12/2018,Huesca,Villarreal,2,2,D,1,0,H
2018-19,16/12/2018,Levante,Barcelona,0,5,A,0,2,A
2018-19,16/12/2018,Sevilla,Girona,2,0,H,0,0,D
2018-19,17/12/2018,Alaves,Ath Bilbao,0,0,D,0,0,D
2018-19,21/12/2018,Girona,Getafe,1,1,D,0,0,D
2018-19,21/12/2018,Sociedad,Alaves,0,1,A,0,1,A
2018-19,22/12/2018,Ath Bilbao,Valladolid,1,1,D,1,0,H
2018-19,22/12/2018,Ath Madrid,Espanol,1,0,H,0,0,D
2018-19,22/12/2018,Barcelona,Celta,2,0,H,2,0,H
2018-19,22/12/2018,Betis,Eibar,1,1,D,1,0,H
2018-19,23/12/2018,Leganes,Sevilla,1,1,D,1,0,H
2018-19,23/12/2018,Valencia,Huesca,2,1,H,1,0,H
2018-19,23/12/2018,Vallecano,Levante,2,1,H,1,0,H
2018-19,3/1/19,Villarreal,Real Madrid,2,2,D,1,2,A
2018-19,4/1/19,Espanol,Leganes,1,0,H,1,0,H
2018-19,4/1/19,Levante,Girona,2,2,D,0,1,A
2018-19,5/1/19,Alaves,Valencia,2,1,H,2,1,H
2018-19,5/1/19,Huesca,Betis,2,1,H,0,0,D
2018-19,5/1/19,Valladolid,Vallecano,0,1,A,0,1,A
2018-19,6/1/19,Eibar,Villarreal,0,0,D,0,0,D
2018-19,6/1/19,Getafe,Barcelona,1,2,A,1,2,A
2018-19,6/1/19,Real Madrid,Sociedad,0,2,A,0,1,A
2018-19,6/1/19,Sevilla,Ath Madrid,1,1,D,1,1,D
2018-19,7/1/19,Celta,Ath Bilbao,1,2,A,1,1,D
2018-19,11/1/19,Vallecano,Celta,4,2,H,2,2,D
2018-19,12/1/19,Girona,Alaves,1,1,D,1,0,H
2018-19,12/1/19,Leganes,Huesca,1,0,H,0,0,D
2018-19,12/1/19,Valencia,Valladolid,1,1,D,0,0,D
